Marka,"Broj automobila"
Volkswagen,4696
Audi,2585
Opel,2518
BMW,2388
Renault,2232
Peugeot,2160
Fiat,1851
Citroen,1601
"Mercedes Benz",1534
Ford,1354
Škoda,975
Seat,495
Nissan,486
Toyota,444
"Alfa Romeo",442
Hyundai,369
Volvo,307
Mazda,292
Kia,258
MINI,228
Suzuki,220
"Land Rover",186
Smart,168
Mitsubishi,157
Chevrolet,156
Zastava,150
Lancia,142
Dacia,125
Honda,114
Jeep,104
Porsche,100
Subaru,70
Lada,64
Daihatsu,48
Saab,36
Jaguar,34
Daewoo,30
Dodge,28
Chrysler,22
Isuzu,20
Rover,20
SsangYong,13
Lexus,8
Lincoln,6
Maserati,5
Bentley,4
Chery,4
Infiniti,3
MG,3
Trabant,3
Wartburg,3
UAZ,3
Cadillac,2
Moskvitch,2
Tata,2
Aro,1
NSU,1
"Rolls Royce",1
"Great Wall",1
Ferrari,1
Cupra,1
Pontiac,1
Mahindra,1
Austin,1
