Grad,"Broj automobila"
Beograd,4912
"Novi Sad",2553
Niš,1232
Kragujevac,1054
Šabac,975
Čačak,857
Pančevo,751
"Novi Beograd",619
Valjevo,562
Kraljevo,513
Zemun,506
Loznica,481
Subotica,467
Obrenovac,405
"Novi Pazar",394
Veternik,360
Jagodina,314
Ruma,310
Futog,304
Smederevo,285
Batajnica,269
Kruševac,262
Leskovac,260
Zrenjanin,257
Mladenovac,233
Lazarevac,232
Sombor,209
"Stara Pazova",208
"Smederevska Palanka",197
Inđija,192
Aranđelovac,169
Užice,155
Surčin,151
Temerin,147
Petrovaradin,146
Zvezdara,145
Požarevac,141
Vrbas,141
"Sremska Mitrovica",141
Vranje,139
"Bežanijska Kosa",133
"Gornji Milanovac",130
Ub,120
Paraćin,114
Kovin,113
Čukarica,113
Kikinda,111
"Petrovac Na Mlavi",109
Voždovac,104
"Lajkovac (Varoš)",101
"Sremska Kamenica",100
Prokuplje,96
"Velika Plana",96
Borča,94
Aleksinac,92
Vršac,89
Topola,86
Kula,83
Požega,81
Vrčin,80
Ćuprija,79
PIROT,79
Svilajnac,77
Rakovica,76
Bor,73
Arilje,73
Zaječar,72
Koceljeva,65
"Vrnjačka Banja",63
"Bajina Bašta",63
"Bačka Topola",62
Prijepolje,62
Trstenik,61
"Novi Bečej",60
Ugrinovci,58
Kać,58
"Bačka Palanka",57
Knjaževac,57
Barajevo,57
Prigrevica,56
Apatin,56
Dobanovci,54
Ivanjica,54
Sjenica,53
Bečej,50
Kanjiža,50
Palilula,48
Ada,48
Tutin,44
"Nova Pazova",44
Grocka,43
Kaluđerica,41
Sremčica,41
Beška,40
Leštane,39
Železnik,38
"Vladičin Han",37
Kuršumlija,37
Irig,37
Preševo,37
Žabalj,36
"Niška Banja",33
Vračar,33
Rumenka,32
Negotin,32
Surdulica,32
Raška,32
Šid,31
"Stari Banovci",31
Priboj,30
Blace,30
Sopot,30
Aleksandrovac,29
Slepčević,29
Boljevac,28
"Nova Varoš",28
Šimanovci,28
VLASOTINCE,28
Majur,27
"Mionica (Varošica)",27
"Novi Banovci",27
Srbobran,27
Mol,26
"Banovo Brdo",26
Martonoš,25
"Stari Grad",24
Senta,24
Alibunar,23
Krupanj,23
Resnik,22
"Mali Zvornik",22
Ljubovija,21
Brus,21
"Banja Koviljača",21
Varvarin,21
Bogatić,21
Čajetina,21
"Osečina (Varošica)",20
Odžaci,20
Ljig,19
"Bačko Dobro Polje",19
Beočin,19
Altina,19
Jakovo,18
Kucura,18
Čurug,18
Barič,17
"Bela Crkva",17
"Veliki Mokri Lug",17
Žarkovo,17
Zlatibor,17
Majdanpek,17
"Bačko Petrovo Selo",17
Lebane,17
"Ravno Selo",17
"Petlovo Brdo",17
Guča,16
Bavanište,16
"Gornja Vranjska",16
Vinča,16
Ćićevac,16
Rača,16
"Veliko Gradište",16
Vrdnik,15
Jajinci,15
Knić,15
Kačarevo,15
Zmajevo,15
Cerak,15
Omoljica,15
Šajkaš,14
Sokobanja,14
Batočina,14
"Braće Jerković",14
Crvenka,14
Pojate,14
Mirijevo,14
Palić,14
"Lučani (Varošica)",13
Žitkovac,13
"Banatsko Novo Selo",13
Opovo,13
Karaburma,13
Dolovo,13
Umka,13
"Lapovo (Varošica)",12
Boleč,12
Despotovac,12
"Grdelica (Varoš)",12
"Veliki Crljeni",12
Ripanj,12
"Savski Venac",12
Pećinci,12
"Zemun Polje",11
Krnjača,11
Klenak,11
Kosjerić,11
Bač,11
Kostolac,11
Vojka,11
Putinci,11
Lešnica,11
Voganj,10
Dublje,10
Čenej,10
Lazarevo,10
Čenta,10
Starčevo,10
Babušnica,10
Stepojevac,10
Pukovac,9
Kučevo,9
Kovačica,9
Jevremovac,9
Sivac,9
Svrljig,9
Lipolist,9
Plandište,9
Vidikovac,9
"Mali Mokri Lug",9
Bujanovac,9
Zuce,8
Melenci,8
Vladimirovac,8
Preljina,8
"Sremski Karlovci",8
Bojnik,8
Badovinci,8
"Stari Ledinci",8
Perlez,8
Lučane,8
Kljajićevo,8
Kisač,8
Belegiš,8
Jelenča,7
"Velika Moštanica",7
Elemir,7
Žitorađa,7
Klek,7
Crepaja,7
Kumodraž,7
Draginje,7
Gospođinci,7
Merošina,7
Rekovac,7
"Bački Jarak",7
"Bački Petrovac",7
"Mala Ivanča",7
Laćarak,7
Stragari,7
Begeč,7
"Mionica (Selo)",7
Mramorak,7
Ušće,7
Medveđa,6
