idOglasa,cena,stanje,marka,model,godiste,kilometraza,karoserija,gorivo,kubikaza,snagaMotora,menjac,brojVrata,boja,lokacijaProdavca
18808403,275900,"Polovno vozilo","Mercedes Benz","GLS 600",2021,3000,Džip/SUV,Benzin,3982,557,"Automatski / poluautomatski ",4,"Crna ",Beograd
19914157,195000,"Polovno vozilo",Porsche,911,2021,5000,Kupe,Benzin,3000,450,"Automatski / poluautomatski ",2,"Krem ",Prigrevica
19887936,191900,"Polovno vozilo","Mercedes Benz","G 400",2022,1000,Džip/SUV,Dizel,2925,330,"Automatski / poluautomatski ",4,"Crna ",Beograd
19383134,190900,"Polovno vozilo",Porsche,911,2021,12000,Kabriolet/Roadster,Benzin,2981,450,"Automatski / poluautomatski ",4,"Crna ",Beograd
19963538,179900,"Polovno vozilo","Mercedes Benz","GLE 63 AMG",2021,15000,Džip/SUV,Benzin,3982,612,"Automatski / poluautomatski ",4,"Crna ",Temerin
19383029,175900,"Polovno vozilo","Mercedes Benz","GLE 63 AMG",2022,12000,Džip/SUV,Benzin,3982,612,"Automatski / poluautomatski ",4,"Crna ",Beograd
19941276,174900,"Polovno vozilo","Mercedes Benz","G 400",2021,25000,Džip/SUV,Dizel,3000,330,"Automatski / poluautomatski ",4,"Crna ",Prigrevica
19398268,169900,"Polovno vozilo","Mercedes Benz","S 580",2021,8000,Limuzina,Benzin,3982,503,"Automatski / poluautomatski ",4,"Crna ",Beograd
19067328,169000,"Polovno vozilo","Mercedes Benz","G 400",2021,16900,Džip/SUV,Dizel,2925,330,"Automatski / poluautomatski ",4,"Siva ",Niš
19922785,169000,"Polovno vozilo","Mercedes Benz","S 400",2022,5500,Limuzina,Dizel,2925,330,"Automatski / poluautomatski ",4,"Zlatna ","Novi Pazar"
19383108,165900,"Polovno vozilo","Mercedes Benz","S 500",2021,4000,Limuzina,Benzin,2999,435,"Automatski / poluautomatski ",4,"Crna ",Beograd
19636534,159000,"Polovno vozilo","Mercedes Benz","S 500",2021,13000,Limuzina,Benzin,2999,435,"Automatski / poluautomatski ",4,"Crna ",Mladenovac
19383071,155900,"Polovno vozilo","Mercedes Benz","S 400",2021,15000,Limuzina,Dizel,2925,330,"Automatski / poluautomatski ",4,"Crna ",Beograd
19383044,148900,"Polovno vozilo","Mercedes Benz","GLS 580",2021,12000,Džip/SUV,Benzin,3982,489,"Automatski / poluautomatski ",4,"Crna ",Beograd
19500902,143500,"Polovno vozilo","Mercedes Benz","GLS 580",2021,8800,Džip/SUV,Benzin,3982,489,"Automatski / poluautomatski ",4,"Crna ",Mladenovac
19009781,139990,"Polovno vozilo","Mercedes Benz","S 400",2021,27157,Limuzina,Dizel,2925,330,"Automatski / poluautomatski ",4,"Crna ",Veternik
19896501,139900,"Polovno vozilo","Mercedes Benz","S 400",2021,7200,Limuzina,Dizel,2925,330,"Automatski / poluautomatski ",4,"Crna ","Novi Beograd"
20042474,139000,"Polovno vozilo","Mercedes Benz","S 350",2021,35000,Limuzina,Dizel,2925,286,"Automatski / poluautomatski ",4,"Crna ","Novi Sad"
19383080,138900,"Polovno vozilo","Mercedes Benz","S 400",2021,8000,Limuzina,Dizel,2925,330,"Automatski / poluautomatski ",4,"Crna ",Beograd
19663757,137900,"Polovno vozilo","Mercedes Benz","S 400",2021,19000,Limuzina,Dizel,2925,330,"Automatski / poluautomatski ",4,"Crna ",Temerin
19563736,137356,"Novo vozilo",Audi,A8,2022,0,Limuzina,Dizel,2967,286,"Automatski / poluautomatski ",4,"Crna ",Beograd
19511673,127900,"Polovno vozilo","Mercedes Benz","GLS 400",2021,17000,Džip/SUV,Dizel,3000,330,"Automatski / poluautomatski ",4,"Crna ",Prigrevica
19290737,122500,"Polovno vozilo","Mercedes Benz","GLE 53 AMG",2021,5000,Džip/SUV,Benzin,2999,435,"Automatski / poluautomatski ",4,"Crna ",Mladenovac
19853914,119900,"Polovno vozilo","Mercedes Benz","GLE 580",2021,7500,Džip/SUV,Benzin,3982,489,"Automatski / poluautomatski ",4,"Crna ",Mladenovac
18897721,119000,"Polovno vozilo","Mercedes Benz","GLS 500",2021,15000,Džip/SUV,Benzin,2999,367,"Automatski / poluautomatski ",4,"Siva ","NOVI SAD"
20012770,114990,"Novo vozilo",BMW,X6,2022,0,Džip/SUV,Dizel,2993,286,"Automatski / poluautomatski ",4,"Siva ",Mladenovac
19996488,114108,"Novo vozilo",BMW,X6,2022,0,Džip/SUV,Dizel,2993,286,"Automatski / poluautomatski ",4,"Zelena ",Mladenovac
19996570,112753,"Novo vozilo",BMW,X6,2022,0,Džip/SUV,Dizel,2993,286,"Automatski / poluautomatski ",4,"Bela ",Mladenovac
19606112,110000,"Polovno vozilo","Mercedes Benz","GLE 400",2021,27000,Džip/SUV,Dizel,2925,330,"Automatski / poluautomatski ",4,"Bela ",Zemun
19663102,110000,"Polovno vozilo",BMW,850,2021,19000,Kupe,Benzin,4395,530,"Automatski / poluautomatski ",2,"Plava ","Sremska Mitrovica"
19694529,110000,"Polovno vozilo",BMW,X6,2021,9500,Džip/SUV,Dizel,3000,286,"Automatski / poluautomatski ",4,"Crna ",Prigrevica
19793551,109990,"Polovno vozilo",BMW,X6,2021,5219,Džip/SUV,Dizel,2993,340,"Automatski / poluautomatski ",4,"Crna ",Veternik
